food,parasite,rep,clutch,age,NB
H,C,1,1,8,6
H,C,1,2,11,9
H,C,1,3,13,8
H,C,1,4,16,12
H,C,1,5,19,12
H,C,1,6,21,12
H,C,1,7,24,13
H,C,1,8,27,15
H,C,1,9,30,11
H,C,1,10,32,18
H,C,1,11,35,18
H,C,1,12,38,20
H,C,1,13,40,25
H,C,1,14,43,16
H,C,1,15,46,20
H,C,1,16,49,17
H,C,1,17,52,18
H,C,1,18,55,17
H,C,1,19,57,5
H,C,1,20,59,13
H,C,2,1,8,7
H,C,2,2,10,12
H,C,2,3,13,10
H,C,2,4,16,12
H,C,2,5,18,18
H,C,2,6,21,15
H,C,2,7,24,17
H,C,3,1,8,7
H,C,3,2,10,12
H,C,3,3,13,10
H,C,3,4,16,13
H,C,3,5,18,17
H,C,3,6,21,20
H,C,3,7,23,21
H,C,3,8,26,16
H,C,3,9,30,24
H,C,3,10,34,24
H,C,3,11,37,20
H,C,3,12,39,26
H,C,3,13,42,23
H,C,3,14,45,20
H,C,3,15,48,28
H,C,3,16,51,19
H,C,3,17,53,23
H,C,3,18,56,16
H,C,3,19,59,18
H,C,3,20,62,16
H,C,4,1,NA,NA
H,C,5,1,7,5
H,C,5,2,13,8
H,C,5,3,15,10
H,C,5,4,18,16
H,C,5,5,21,12
H,C,5,6,23,14
H,C,5,7,26,10
H,C,5,8,30,18
H,C,5,9,34,14
H,C,6,1,8,5
H,C,6,2,10,11
H,C,6,3,13,7
H,C,6,4,15,11
H,C,6,5,18,18
H,C,6,6,21,14
H,C,6,7,23,14
H,C,6,8,30,5
H,C,6,9,34,19
H,C,6,10,37,14
H,C,6,11,40,17
H,C,6,12,42,8
H,C,7,1,8,7
H,C,7,2,10,2
H,C,8,1,7,6
H,C,8,2,10,12
H,C,8,3,13,8
H,C,8,4,15,12
H,C,8,5,18,21
H,C,8,6,21,15
H,C,8,7,23,16
H,C,8,8,26,12
H,C,8,9,30,19
H,C,8,10,34,21
H,C,8,11,37,14
H,C,8,12,40,26
H,C,8,13,42,12
H,C,9,1,8,7
H,C,9,2,10,12
H,C,9,1,13,12
H,C,9,2,16,11
H,C,9,3,18,16
H,C,9,4,21,20
H,C,9,5,23,18
H,C,9,6,26,12
H,C,9,7,32,17
H,C,9,8,34,17
H,C,9,9,37,8
H,C,9,10,40,6
H,C,9,11,50,5
H,C,9,12,53,7
H,C,9,13,56,13
H,C,9,14,59,13
H,C,9,15,62,8
H,C,9,16,65,8
H,C,9,17,69,9
H,C,9,18,72,7
H,C,10,1,8,7
H,C,10,2,10,10
H,C,10,3,13,9
H,C,10,4,15,9
H,C,10,5,18,14
H,C,10,6,21,11
H,C,10,7,23,15
H,C,10,8,26,13
H,C,10,9,30,16
H,C,10,10,34,17
H,C,11,1,8,8
H,C,11,2,11,10
H,C,11,3,13,9
H,C,11,4,16,10
H,C,11,5,18,12
H,C,11,6,21,14
H,C,11,7,24,16
H,C,11,8,26,10
H,C,11,9,30,13
H,C,11,10,32,17
H,C,11,11,35,16
H,C,11,12,37,12
H,C,11,13,40,18
H,C,11,14,43,13
H,C,11,15,46,13
H,C,11,16,49,20
H,C,11,17,51,20
H,C,11,18,53,21
H,C,11,19,57,18
H,C,11,20,60,13
H,C,11,21,63,9
H,C,11,22,67,8
H,C,12,1,8,4
H,C,12,2,11,12
H,C,12,3,13,10
H,C,12,4,16,11
H,C,12,5,18,15
H,C,12,6,21,11
H,C,12,7,24,17
H,C,12,8,26,14
H,C,13,1,8,6
H,C,13,2,11,11
H,C,13,3,13,8
H,C,13,4,16,11
H,C,13,5,18,15
H,C,13,6,21,10
H,C,13,7,24,15
H,C,13,8,26,11
H,C,13,9,30,16
H,C,14,1,10,8
H,C,14,2,13,8
H,C,14,3,15,11
H,C,14,4,18,12
H,C,14,5,21,13
H,C,14,6,23,15
H,C,14,7,26,12
H,C,14,8,30,23
H,C,14,9,34,20
H,C,14,10,37,16
H,C,14,11,40,20
H,C,14,12,43,11
H,C,15,1,7,7
H,C,15,2,10,12
H,C,15,3,13,6
H,C,15,4,15,11
H,C,15,5,18,13
H,C,15,6,20,15
H,C,16,1,8,7
H,C,16,2,10,9
H,C,16,3,13,8
H,C,16,4,16,10
H,C,16,5,18,15
H,C,16,6,21,12
H,C,16,7,24,16
H,C,16,8,26,13
H,C,16,9,30,12
H,C,16,10,32,17
H,C,16,11,35,16
H,C,16,12,38,14
H,C,16,13,40,20
H,C,16,14,43,8
H,C,16,15,46,13
H,C,16,16,49,19
H,C,16,17,52,13
H,C,16,18,54,18
H,C,16,19,58,12
H,C,16,20,61,17
H,C,16,21,68,1
H,C,17,1,8,9
H,C,17,2,10,11
H,C,17,3,13,9
H,C,17,4,15,12
H,C,17,5,18,17
H,C,17,6,21,16
H,C,17,7,23,17
H,C,17,8,26,12
H,C,18,1,8,5
H,C,19,1,8,4
H,C,20,1,8,6
H,C,20,2,10,9
H,C,20,3,13,8
H,C,20,4,15,10
H,C,20,5,18,12
H,C,20,6,21,11
H,C,20,7,23,14
H,C,20,8,26,10
H,C,20,9,30,18
H,C,20,10,34,16
H,C,20,11,37,12
H,C,20,12,40,22
H,C,20,13,42,17
H,C,20,14,45,20
H,C,20,15,48,17
H,C,20,16,51,14
H,C,20,17,54,16
H,C,20,18,56,14
H,C,21,1,8,5
H,C,21,2,10,10
H,C,21,3,13,10
H,C,21,4,16,12
H,C,21,5,18,15
H,C,21,6,20,15
H,C,21,7,23,15
H,C,22,1,8,6
H,C,22,2,10,10
H,C,22,3,13,9
H,C,22,4,16,11
H,C,22,5,18,12
H,C,22,6,21,14
H,C,22,7,23,15
H,C,22,8,26,10
H,C,22,9,30,17
H,C,22,10,34,22
H,C,22,11,37,16
H,C,22,12,40,15
H,C,22,13,42,13
H,C,22,14,48,15
H,C,22,15,51,17
H,C,22,16,54,15
H,C,22,17,56,15
H,C,22,18,59,15
H,C,22,19,63,5
H,C,22,20,67,7
H,C,22,21,70,1
H,C,23,1,8,6
H,C,23,2,10,10
H,C,23,3,13,9
H,C,23,4,15,10
H,C,24,1,8,6
H,C,24,2,10,9
H,C,24,3,13,8
H,C,24,4,16,11
H,C,24,5,18,13
H,C,24,6,21,11
H,C,24,7,24,12
H,C,25,1,8,7
H,C,25,2,10,10
H,C,25,3,13,8
H,C,25,4,16,10
H,C,25,5,18,16
H,C,25,6,21,16
H,C,25,7,23,13
H,C,25,8,26,13
H,C,25,9,30,5
H,C,26,1,7,6
H,C,26,2,10,10
H,C,26,3,13,9
H,C,26,4,15,10
H,C,26,5,18,17
H,C,26,6,21,14
H,C,26,7,23,13
H,C,26,8,26,13
H,C,26,9,30,27
H,C,26,10,34,21
H,C,26,11,37,19
H,C,26,12,40,18
H,C,26,13,42,15
H,C,26,14,45,18
H,C,26,15,48,17
H,C,26,16,51,12
H,C,26,17,54,10
H,C,27,1,8,6
H,C,27,2,10,8
H,C,27,3,13,10
H,C,27,4,16,9
H,C,27,5,18,16
H,C,27,6,21,12
H,C,27,7,24,12
H,C,28,1,7,7
H,C,28,2,10,11
H,C,28,3,13,11
H,C,28,4,16,12
H,C,28,5,18,13
H,C,28,6,21,12
H,C,28,7,24,14
H,C,28,8,26,12
H,C,28,9,30,7
H,C,28,10,32,18
H,C,28,11,35,12
H,C,28,12,37,19
H,C,28,13,40,22
H,C,28,14,43,17
H,C,28,15,46,22
H,C,28,16,49,19
H,C,28,17,52,16
H,C,28,18,55,20
H,C,28,19,57,19
H,C,28,20,60,19
H,C,29,1,8,7
H,C,30,1,8,6
H,C,30,2,10,11
H,C,30,3,13,9
H,C,30,4,16,9
H,C,30,5,19,13
H,C,30,6,21,13
L,C,1,1,9,2
L,C,1,2,12,4
L,C,1,3,15,3
L,C,1,4,18,5
L,C,1,5,21,6
L,C,1,6,23,6
L,C,2,1,9,1
L,C,2,2,12,4
L,C,2,3,14,2
L,C,2,4,17,2
L,C,2,5,20,4
L,C,2,6,23,7
L,C,2,7,26,7
L,C,3,1,9,2
L,C,3,2,12,4
L,C,3,3,14,5
L,C,3,4,17,4
L,C,3,5,20,6
L,C,3,6,23,8
L,C,4,1,9,2
L,C,4,2,12,5
L,C,4,3,15,7
L,C,4,4,17,5
L,C,4,5,21,2
L,C,4,6,23,8
L,C,5,1,9,2
L,C,5,2,12,4
L,C,5,3,15,7
L,C,6,1,9,3
L,C,6,2,12,4
L,C,6,3,15,5
L,C,6,4,18,3
L,C,6,5,20,4
L,C,6,6,23,6
L,C,7,1,10,2
L,C,7,2,12,5
L,C,7,3,15,7
L,C,7,4,18,9
L,C,7,5,21,5
L,C,7,6,25,5
L,C,8,1,9,4
L,C,8,2,12,3
L,C,8,3,14,3
L,C,8,4,17,1
L,C,8,5,20,5
L,C,8,6,23,8
L,C,8,7,26,6
L,C,9,1,9,2
L,C,9,2,12,4
L,C,9,3,15,6
L,C,9,4,17,4
L,C,9,5,21,3
L,C,9,6,23,6
L,C,10,1,9,2
L,C,10,2,12,4
L,C,10,3,14,6
L,C,10,4,17,8
L,C,10,5,20,7
L,C,10,6,23,9
L,C,11,1,9,5
L,C,11,2,11,5
L,C,11,3,14,6
L,C,11,4,17,6
L,C,11,5,20,6
L,C,11,6,23,5
L,C,12,1,11,4
L,C,12,2,14,5
L,C,12,3,17,8
L,C,12,4,20,7
L,C,12,5,23,7
L,C,13,1,9,1
L,C,13,2,12,4
L,C,13,3,15,3
L,C,13,4,18,5
L,C,13,5,20,4
L,C,13,6,23,6
L,C,13,7,26,4
L,C,14,1,9,2
L,C,14,2,12,4
L,C,14,3,15,5
L,C,14,4,18,6
L,C,14,5,20,4
L,C,14,6,23,6
L,C,15,1,9,2
L,C,15,2,12,3
L,C,15,3,15,5
L,C,15,4,18,8
L,C,15,5,20,3
L,C,15,6,23,8
L,C,16,1,9,2
L,C,16,2,12,4
L,C,16,3,15,6
L,C,16,4,17,6
L,C,16,5,20,1
L,C,16,6,23,4
L,C,17,1,9,7
L,C,17,2,12,5
L,C,17,3,15,4
L,C,17,4,18,2
L,C,17,5,20,3
L,C,17,6,23,6
L,C,18,1,9,2
L,C,18,2,11,5
L,C,18,3,14,7
L,C,18,4,17,8
L,C,18,5,20,6
L,C,18,6,23,7
L,C,18,7,26,5
L,C,19,1,9,4
L,C,19,2,12,4
L,C,19,3,15,6
L,C,19,4,17,7
L,C,19,5,20,4
L,C,19,6,26,5
L,C,20,1,9,1
L,C,20,2,12,4
L,C,20,3,14,7
L,C,20,4,17,8
L,C,20,5,20,6
L,C,21,1,9,1
L,C,21,2,12,4
L,C,21,3,15,4
L,C,21,4,18,5
L,C,21,5,20,4
L,C,21,6,23,4
L,C,22,1,9,2
L,C,22,2,11,5
L,C,22,3,14,6
L,C,22,4,17,6
L,C,22,5,20,6
L,C,22,6,23,8
L,C,23,1,8,4
L,C,23,2,11,4
L,C,23,3,14,4
L,C,23,4,17,7
L,C,23,5,20,4
L,C,23,6,22,5
L,C,24,1,9,1
L,C,24,2,11,4
L,C,24,3,14,4
L,C,24,4,17,6
L,C,24,5,20,5
L,C,24,6,22,7
L,C,24,7,25,6
L,C,24,8,28,1
L,C,24,9,30,7
L,C,24,10,34,2
L,C,25,1,9,2
L,C,25,2,12,4
L,C,25,3,14,5
L,C,25,4,17,2
L,C,25,5,20,4
L,C,25,6,23,5
L,C,26,1,9,3
L,C,27,1,9,2
L,C,27,2,12,5
L,C,27,3,15,5
L,C,27,4,17,6
L,C,27,5,23,7
L,C,27,6,26,6
L,C,28,1,9,1
L,C,28,2,12,4
L,C,28,3,15,7
L,C,28,4,17,4
L,C,29,1,9,1
L,C,29,2,12,4
L,C,29,3,15,6
L,C,29,4,17,5
L,C,29,5,21,2
L,C,29,6,23,7
L,C,30,1,9,1
L,C,30,2,12,4
L,C,30,3,15,6
L,C,30,4,17,5
L,C,30,5,20,3
L,C,30,6,23,3
L,C,30,7,27,5
H,MG,1,1,8,6
H,MG,1,2,10,10
H,MG,1,3,13,12
H,MG,1,4,15,10
H,MG,1,5,18,6
H,MG,2,1,8,7
H,MG,2,2,10,10
H,MG,2,3,13,10
H,MG,2,4,15,10
H,MG,2,5,18,14
H,MG,2,6,21,11
H,MG,3,1,7,6
H,MG,3,2,10,9
H,MG,3,3,13,8
H,MG,3,4,15,9
H,MG,3,5,18,10
H,MG,3,6,21,5
H,MG,3,7,25,1
H,MG,4,1,7,7
H,MG,4,2,10,10
H,MG,4,3,13,13
H,MG,4,4,15,12
H,MG,4,5,18,18
H,MG,4,6,21,15
H,MG,4,7,24,16
H,MG,5,1,8,6
H,MG,5,2,10,15
H,MG,5,3,13,11
H,MG,5,4,16,11
H,MG,5,5,18,13
H,MG,5,6,21,15
H,MG,5,7,24,13
H,MG,6,1,8,10
H,MG,6,2,13,13
H,MG,6,3,16,12
H,MG,6,4,18,16
H,MG,6,5,21,8
H,MG,6,6,25,10
H,MG,6,7,30,12
H,MG,6,8,32,17
H,MG,6,9,36,9
H,MG,6,10,38,13
H,MG,6,11,41,9
H,MG,6,12,44,10
H,MG,6,13,46,9
H,MG,6,14,49,8
H,MG,6,15,52,7
H,MG,6,16,55,7
H,MG,6,17,58,6
H,MG,6,18,61,8
H,MG,7,1,NA,NA
H,MG,8,1,7,7
H,MG,8,2,10,12
H,MG,8,3,13,9
H,MG,8,4,15,10
H,MG,8,5,18,13
H,MG,8,6,21,8
H,MG,8,7,23,9
H,MG,9,1,7,9
H,MG,9,2,10,14
H,MG,9,3,13,12
H,MG,9,4,15,10
H,MG,9,5,18,12
H,MG,9,6,21,11
H,MG,9,7,23,13
